Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,Quantity,Unit_Price,Discount,Region,Salesperson
ORD00365,2026-01-01,C015,Hoang Thu Ha,Keyboard,Accessories,1,63.21,0.1,West,Trang
ORD00002,2026-01-02,C088,Phan Duc Tuan,Webcam,Electronics,3,69.25,0.1,South,Trang
ORD00489,2026-01-02,C008,Huynh Kim Thao,Keyboard,Accessories,6,63.12,0.2,North,Lan
ORD00313,2026-01-04,C058,Doan Thu Phuong,Keyboard,Accessories,5,61.37,0.0,West,Chi
ORD00398,2026-01-05,C084,Pham Quang Duy,Webcam,Electronics,4,70.77,0.0,North,Chi
ORD00434,2026-01-05,C057,Phan Duc Tuan,Mouse,Accessories,1,32.09,0.0,West,Lan
ORD00195,2026-01-06,C039,Ngo Minh Quan,Desk,Office,2,297.95,0.1,Central,Chi
ORD00146,2026-01-07,C009,Le Minh Chau,Headphones,Accessories,2,84.54,0.0,South,Chi
ORD00384,2026-01-07,C036,Tran Thi Binh,Desk,Office,3,263.72,0.0,Central,Dung
ORD00261,2026-01-08,C064,Ngo Minh Quan,Mouse,Accessories,2,31.59,0.05,East,An
ORD00392,2026-01-08,C097,Dang Ngoc Mai,Headphones,Accessories,5,90.68,0.05,North,Trang
ORD00408,2026-01-09,C054,Bui Gia Nam,Laptop,Electronics,2,1126.75,0.05,Central,Binh
ORD00480,2026-01-09,C092,Vo Thanh Lam,Desk,Office,3,265.21,0.1,West,Binh
ORD00145,2026-01-10,C016,Dang Ngoc Mai,Keyboard,Accessories,10,55.58,0.15,North,Minh
ORD00200,2026-01-10,C067,Vo Thanh Lam,Printer,Office,2,210.66,0.0,South,Huy
ORD00227,2026-01-11,C010,Doan Thu Phuong,Monitor,Electronics,2,333.55,0.0,West,Huy
ORD00247,2026-01-11,C050,Mai Anh,Laptop,Electronics,4,1115.17,0.05,North,Minh
ORD00142,2026-01-12,C019,Hoang Thu Ha,Laptop,Electronics,1,1105.01,0.15,East,Chi
ORD00267,2026-01-12,C047,Tran Thi Binh,Tablet,Electronics,3,530.34,0.0,West,Huy
ORD00301,2026-01-12,C074,Bui Gia Nam,Webcam,Electronics,2,80.57,0.1,East,Dung
ORD00305,2026-01-12,C011,Nguyen Ha,Mouse,Accessories,3,31.84,0.0,North,Minh
ORD00357,2026-01-12,C070,Nguyen Van An,Monitor,Electronics,4,371.12,0.0,Central,Chi
ORD00044,2026-01-13,C030,Le Minh Chau,Headphones,Accessories,3,93.26,0.05,North,Trang
ORD00211,2026-01-13,C073,Hoang Thu Ha,Printer,Office,2,237.37,0.1,West,Minh
ORD00491,2026-01-13,C035,Pham Quang Duy,Laptop,Electronics,2,1162.37,0.05,Central,Chi
ORD00198,2026-01-14,C089,Pham Quang Duy,Laptop,Electronics,2,1181.76,0.0,South,Minh
ORD00429,2026-01-14,C034,Mai Anh,Laptop,Electronics,5,1239.11,0.0,East,Trang
ORD00014,2026-01-15,C090,Ngo Minh Quan,Headphones,Accessories,4,90.33,0.05,East,Huy
ORD00108,2026-01-15,C029,Nguyen Van An,Tablet,Electronics,3,471.14,0.0,East,Lan
ORD00428,2026-01-15,C100,Pham Quang Duy,Headphones,Accessories,8,88.28,0.05,South,An
ORD00368,2026-01-16,C066,Bui Gia Nam,Tablet,Electronics,1,501.81,0.15,North,Minh
ORD00391,2026-01-16,C080,Huynh Kim Thao,Chair,Office,2,176.31,0.0,West,Dung
ORD00295,2026-01-17,C098,Vo Thanh Lam,Webcam,Electronics,4,77.49,0.0,South,An
ORD00099,2026-01-20,C012,Tran Minh,Keyboard,Accessories,8,57.12,0.1,North,Binh
ORD00242,2026-01-20,C082,Ngo Minh Quan,Mouse,Accessories,1,29.26,0.05,North,Binh
ORD00196,2026-01-21,C015,Nguyen Van An,Keyboard,Accessories,2,59.67,0.0,Central,Binh
ORD00255,2026-01-21,C042,Mai Anh,Mouse,Accessories,2,29.81,0.0,North,An
ORD00290,2026-01-21,C068,Tran Thi Binh,Webcam,Electronics,1,75.74,0.05,North,Chi
ORD00292,2026-01-21,C082,Hoang Thu Ha,Webcam,Electronics,4,74.93,0.05,Central,Minh
ORD00422,2026-01-22,C085,Vo Thanh Lam,Mouse,Accessories,10,28.66,0.0,West,Trang
ORD00432,2026-01-22,C057,Hoang Thu Ha,Chair,Office,3,174.72,0.05,Central,Binh
ORD00379,2026-01-23,C085,Hoang Thu Ha,Mouse,Accessories,3,27.62,0.1,Central,Huy
ORD00459,2026-01-23,C025,Hoang Thu Ha,Keyboard,Accessories,2,60.14,0.0,West,Minh
ORD00009,2026-01-24,C026,Doan Thu Phuong,Tablet,Electronics,5,503.18,0.1,East,Dung
ORD00416,2026-01-24,C027,Bui Gia Nam,Laptop,Electronics,8,1182.61,0.05,West,Dung
ORD00271,2026-01-25,C008,Ngo Minh Quan,Monitor,Electronics,1,354.32,0.0,South,Trang
ORD00380,2026-01-25,C094,Doan Thu Phuong,Monitor,Electronics,1,359.86,0.0,West,Dung
ORD00063,2026-01-27,C066,Hoang Thu Ha,Webcam,Electronics,2,73.76,0.0,West,Huy
ORD00112,2026-01-27,C069,Pham Quang Duy,Laptop,Electronics,3,1241.51,0.05,Central,Lan
ORD00370,2026-01-27,C093,Dang Ngoc Mai,Keyboard,Accessories,5,59.09,0.15,West,Minh
ORD00059,2026-01-28,C078,Tran Minh,Laptop,Electronics,8,1172.14,0.1,East,Chi
ORD00341,2026-01-28,C021,Vo Thanh Lam,Headphones,Accessories,2,92.19,0.1,Central,Binh
ORD00129,2026-01-29,C060,Tran Thi Binh,Desk,Office,5,296.86,0.0,South,An
ORD00350,2026-01-29,C077,Huynh Kim Thao,Mouse,Accessories,2,30.22,0.2,East,An
ORD00081,2026-01-30,C079,Huynh Kim Thao,Monitor,Electronics,1,355.04,0.0,Central,Minh
ORD00082,2026-01-30,C051,Nguyen Van An,Desk,Office,3,298.39,0.05,West,Huy
ORD00309,2026-01-30,C090,Hoang Thu Ha,Keyboard,Accessories,1,63.65,0.1,East,Trang
ORD00342,2026-01-30,C060,Phan Duc Tuan,Mouse,Accessories,1,31.74,0.05,South,Trang
ORD00287,2026-01-31,C084,Bui Gia Nam,Chair,Office,1,169.5,0.05,North,Dung
ORD00266,2026-02-01,C051,Nguyen Ha,Printer,Office,8,206.68,0.0,North,Trang
ORD00049,2026-02-02,C094,Hoang Thu Ha,Mouse,Accessories,1,29.87,0.05,South,Binh
ORD00074,2026-02-02,C065,Tran Thi Binh,Laptop,Electronics,5,1135.65,0.05,North,Chi
ORD00139,2026-02-02,C036,Tran Minh,Mouse,Accessories,3,31.12,0.15,East,Chi
ORD00078,2026-02-03,C092,Tran Minh,Keyboard,Accessories,1,62.47,0.1,South,Binh
ORD00257,2026-02-03,C008,Huynh Kim Thao,Laptop,Electronics,6,1226.34,0.05,North,Minh
ORD00374,2026-02-03,C082,Bui Gia Nam,Webcam,Electronics,4,70.9,0.0,South,Minh
ORD00366,2026-02-04,C066,Tran Minh,Tablet,Electronics,5,530.75,0.1,North,Binh
ORD00492,2026-02-04,C086,Vo Thanh Lam,Webcam,Electronics,2,69.96,0.0,South,An
ORD00040,2026-02-05,C045,Pham Quang Duy,Keyboard,Accessories,3,55.25,0.0,North,Trang
ORD00222,2026-02-05,C084,Pham Quang Duy,Desk,Office,1,269.09,0.05,North,Dung
ORD00406,2026-02-05,C092,Phan Duc Tuan,Chair,Office,5,189.66,0.05,South,Minh
ORD00481,2026-02-05,C086,Nguyen Ha,Webcam,Electronics,4,76.85,0.05,South,Dung
ORD00148,2026-02-06,C043,Bui Gia Nam,Printer,Office,1,205.11,0.0,South,Minh
ORD00033,2026-02-07,C051,Vo Thanh Lam,Laptop,Electronics,2,1150.85,0.0,Central,Chi
ORD00451,2026-02-07,C019,Pham Quang Duy,Desk,Office,1,295.16,0.15,Central,Minh
ORD00174,2026-02-08,C015,Dang Ngoc Mai,Keyboard,Accessories,10,59.53,0.0,West,Huy
ORD00405,2026-02-08,C081,Huynh Kim Thao,Mouse,Accessories,4,30.67,0.0,East,Trang
ORD00161,2026-02-09,C025,Hoang Thu Ha,Webcam,Electronics,8,78.71,0.1,Central,Chi
ORD00189,2026-02-10,C060,Ngo Minh Quan,Headphones,Accessories,5,92.07,0.05,Central,Binh
ORD00300,2026-02-11,C099,Vo Thanh Lam,Headphones,Accessories,1,86.87,0.0,East,Minh
ORD00205,2026-02-12,C098,Doan Thu Phuong,Printer,Office,4,219.29,0.0,South,Huy
ORD00217,2026-02-12,C048,Dang Ngoc Mai,Monitor,Electronics,3,348.69,0.0,South,Dung
ORD00500,2026-02-12,C079,Phan Duc Tuan,Monitor,Electronics,1,356.14,0.1,East,Lan
ORD00092,2026-02-13,C025,Nguyen Van An,Laptop,Electronics,2,1166.88,0.0,West,Dung
ORD00386,2026-02-13,C047,Hoang Thu Ha,Mouse,Accessories,1,30.08,0.0,South,Lan
ORD00163,2026-02-14,C096,Nguyen Ha,Monitor,Electronics,6,325.44,0.2,West,Chi
ORD00166,2026-02-14,C058,Doan Thu Phuong,Monitor,Electronics,4,371.37,0.0,Central,Minh
ORD00035,2026-02-15,C006,Le Minh Chau,Chair,Office,1,179.13,0.2,East,An
ORD00053,2026-02-15,C002,Mai Anh,Printer,Office,1,209.95,0.0,Central,Binh
ORD00113,2026-02-15,C012,Ngo Minh Quan,Webcam,Electronics,3,74.54,0.0,West,Trang
ORD00151,2026-02-15,C029,Nguyen Ha,Monitor,Electronics,2,325.92,0.15,North,Huy
ORD00330,2026-02-15,C062,Bui Gia Nam,Keyboard,Accessories,1,55.25,0.05,Central,Dung
ORD00333,2026-02-15,C045,Nguyen Van An,Headphones,Accessories,4,84.69,0.2,East,Chi
ORD00048,2026-02-16,C094,Nguyen Ha,Monitor,Electronics,1,327.14,0.0,East,Huy
ORD00068,2026-02-16,C021,Vo Thanh Lam,Mouse,Accessories,5,30.27,0.2,West,Chi
ORD00069,2026-02-16,C049,Nguyen Ha,Webcam,Electronics,1,69.91,0.05,North,Huy
ORD00089,2026-02-16,C056,Vo Thanh Lam,Webcam,Electronics,1,80.84,0.05,South,Dung
ORD00111,2026-02-16,C068,Phan Duc Tuan,Monitor,Electronics,2,330.4,0.1,West,Binh
ORD00143,2026-02-16,C012,Nguyen Ha,Webcam,Electronics,1,74.35,0.15,Central,Trang
ORD00218,2026-02-16,C015,Doan Thu Phuong,Tablet,Electronics,1,460.61,0.0,East,Chi
ORD00325,2026-02-16,C015,Doan Thu Phuong,Headphones,Accessories,2,89.06,0.0,Central,Binh
ORD00458,2026-02-16,C084,Le Minh Chau,Chair,Office,8,186.35,0.1,Central,Dung
ORD00256,2026-02-17,C029,Nguyen Van An,Monitor,Electronics,3,367.3,0.15,South,Binh
ORD00323,2026-02-17,C020,Hoang Thu Ha,Keyboard,Accessories,4,61.52,0.05,Central,Dung
ORD00381,2026-02-17,C028,Doan Thu Phuong,Chair,Office,3,175.97,0.0,Central,Minh
ORD00402,2026-02-17,C056,Huynh Kim Thao,Mouse,Accessories,3,30.66,0.0,South,Lan
ORD00474,2026-02-17,C066,Bui Gia Nam,Laptop,Electronics,2,1277.14,0.1,East,Minh
ORD00042,2026-02-18,C052,Ngo Minh Quan,Monitor,Electronics,10,370.18,0.1,Central,Dung
ORD00351,2026-02-18,C013,Tran Thi Binh,Mouse,Accessories,2,28.34,0.05,West,Lan
ORD00397,2026-02-18,C047,Pham Quang Duy,Printer,Office,2,211.55,0.05,East,An
ORD00470,2026-02-18,C053,Nguyen Van An,Keyboard,Accessories,2,57.16,0.15,North,Lan
ORD00007,2026-02-19,C004,Tran Thi Binh,Printer,Office,5,216.17,0.0,South,Dung
ORD00310,2026-02-20,C047,Tran Thi Binh,Laptop,Electronics,4,1277.83,0.0,South,Chi
ORD00136,2026-02-22,C071,Ngo Minh Quan,Keyboard,Accessories,4,61.28,0.0,West,An
ORD00371,2026-02-22,C019,Doan Thu Phuong,Keyboard,Accessories,3,60.99,0.2,North,Lan
ORD00079,2026-02-23,C005,Nguyen Ha,Headphones,Accessories,4,95.07,0.05,Central,An
ORD00137,2026-02-23,C065,Le Minh Chau,Mouse,Accessories,2,27.83,0.05,West,Dung
ORD00213,2026-02-23,C071,Doan Thu Phuong,Webcam,Electronics,2,73.51,0.1,West,Minh
